"Year","Algeria","Angola","Argentina","Australia","Austria","Azerbaijan","Bahrain","Bangladesh","Belarus","Belgium","Bolivia","Brazil","Brunei","Bulgaria","Canada","Chad","Chile","China","China Hong Kong SAR","Colombia","Croatia","Cuba","Curacao","Cyprus","Czech Republic","Democratic Republic of Congo","Denmark","Ecuador","Egypt","Equatorial Guinea","Estonia","Finland","France","Gabon","Germany","Greece","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Japan","Kazakhstan","Kuwait","Latvia","Libya","Lithuania","Luxembourg","Madagascar","Malaysia","Mexico","Mongolia","Morocco","Mozambique","Myanmar","Netherlands","Netherlands Antilles","New Caledonia","New Zealand","Nigeria","North Macedonia","Norway","Oman","Other Africa","Other Asia Pacific","Other CIS","Other Caribbean","Other Eastern Africa","Other Europe","Other Middle Africa","Other Middle East","Other North America","Other Northern Africa","Other S. & Cent. America","Other South America","Other Southern Africa","Other Western Africa","Pakistan","Papua New Guinea","Peru","Philippines","Poland","Portugal","Qatar","Republic of Congo","Rest of World","Romania","Russian Federation","Saudi Arabia","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","South Sudan","Spain","Sri Lanka","Sudan","Sweden","Switzerland","Syria","Taiwan","Thailand","Trinidad & Tobago","Tunisia","Turkiye","Turkmenistan","US","USSR","Ukraine","United Arab Emirates","United Kingdom","Uzbekistan","Venezuela","Vietnam","Yemen","Zambia","Zimbabwe","World"
1992,10.24,6.06,3.59,35.48,,6.12,24.16,0.09,,,0.76,0.71,158.45,2.41,23.12,,,2.20,,3.90,,,,,11.85,,5.81,4.51,2.47,0.56,,,,39.25,5.12,2.60,1.62,,0.64,1.96,9.37,4.24,,,0.82,0.13,17.44,96.83,,47.04,,,,7.15,5.81,4.94,,,0.04,9.41,,,1.97,2.88,,82.10,55.27,,,,,,,,,,,,,,,0.22,,0.78,,9.63,,175.62,9.65,,3.87,19.72,76.23,,,,,9.74,0.47,,1.05,,,,,5.78,,0.78,23.46,1.75,0.84,29.09,16.24,,6.02,176.88,9.96,4.19,20.54,0.39,1.70,,1.31,3.92
1993,10.05,5.36,3.79,35.09,,5.43,25.01,0.10,,,0.74,0.72,154.50,2.35,24.52,,,2.24,,3.86,,,,,11.59,,6.23,4.74,2.53,1.34,,,,40.26,4.62,2.64,1.40,,0.64,2.01,9.24,3.51,,,0.86,0.13,15.44,170.71,,43.62,,,,7.03,5.76,4.38,,,0.05,9.53,,,2.20,2.79,,85.86,55.23,,,,,,,,,,,,,,,0.24,,0.83,,9.34,,161.34,10.36,,3.86,18.13,71.99,,,,,9.78,0.37,,1.03,,0.01,,,6.13,,0.82,23.23,1.55,0.78,31.97,15.39,,5.18,164.87,9.88,4.34,21.07,0.45,1.86,,1.23,3.82
1994,9.48,5.74,4.06,36.08,,5.03,24.76,0.10,,,0.78,0.74,153.04,2.30,25.70,,,2.37,,3.87,,,,,10.59,,6.80,5.11,2.45,1.29,,,,43.37,4.29,2.69,1.33,,0.65,2.12,9.55,3.74,,,0.91,0.12,14.27,184.27,,43.56,,,,7.06,5.76,3.97,,,0.07,8.98,,,1.99,2.60,,95.69,55.94,,,,,,,,,,,,,,,0.24,,0.82,,9.31,,155.47,10.09,,3.71,16.87,70.67,,,,,9.99,0.29,,0.97,,0.01,,,5.96,,0.88,25.10,1.40,0.81,18.34,15.90,,4.37,160.88,10.49,4.61,21.90,0.46,2.97,,1.26,3.83
1995,9.79,6.31,4.40,37.00,,4.89,24.37,0.11,,,0.77,0.76,156.33,2.43,26.80,,,2.55,,4.58,,,,,10.27,,6.96,5.12,2.42,1.74,,,,44.59,4.20,2.72,1.36,,0.68,2.19,9.63,3.78,,,0.92,0.11,12.54,189.07,,42.93,,,,7.44,5.52,3.81,,,0.07,9.07,,,2.41,2.56,,101.98,58.99,,,,,,,,,,,,,,,0.24,,0.77,,9.53,,155.16,9.52,,3.71,16.37,68.60,,,,,10.34,0.22,,0.95,,0.01,,,6.19,,0.91,25.68,1.35,0.79,16.37,15.57,,3.88,157.26,11.05,4.80,23.09,0.54,2.91,,1.26,3.85
1996,10.19,6.93,4.82,37.69,,4.65,24.30,0.12,,,0.76,0.83,147.84,2.50,27.04,,,2.61,,4.98,,,,,10.41,,7.97,5.01,2.32,4.08,,,,44.69,3.98,2.59,1.45,,0.70,2.28,9.74,4.00,,,0.93,0.11,12.55,184.15,,42.59,,,,8.06,5.85,3.84,,,0.07,10.20,,,2.42,2.54,,116.21,60.25,,,,,,,,,,,,,,,0.25,,0.75,,9.45,,180.56,10.36,,3.67,16.30,67.79,,,,,10.18,0.19,,0.93,,0.03,,,5.96,,1.04,26.88,1.32,0.79,17.47,15.64,,3.12,153.38,11.38,4.78,24.04,0.62,2.87,,1.16,3.89
1997,10.91,6.91,4.88,40.24,,4.53,25.30,0.12,,,0.63,0.89,143.49,2.34,27.86,,,2.58,,5.29,,,,,10.58,,9.06,4.95,2.23,13.82,,,,43.45,3.82,2.76,1.52,,0.71,2.30,9.68,7.47,,,0.94,0.07,13.04,178.01,,42.80,,,,8.29,5.98,3.66,,,0.07,8.98,,,2.25,2.48,,119.06,60.48,,,,,,,,,,,,,,,0.24,,0.71,,9.61,,218.46,11.35,,3.24,15.91,65.32,,,,,10.71,0.17,,0.93,,0.05,,,5.91,,1.18,27.34,1.23,0.83,10.55,15.61,,3.25,145.86,11.26,4.83,24.57,0.71,2.92,,1.17,3.90
1998,11.08,6.60,5.00,40.43,,5.27,25.82,0.12,,,0.65,0.99,132.35,2.39,28.10,,,2.48,,5.71,,,,,9.89,,9.11,4.72,2.16,18.39,,,,39.23,3.53,2.89,1.39,,0.70,2.32,9.86,12.97,,,0.91,0.06,13.06,180.13,,41.76,,,,8.14,6.04,3.72,,,0.08,8.52,,,1.94,2.49,,114.69,59.49,,,,,,,,,,,,,,,0.24,,0.69,,8.34,,217.98,13.04,,2.90,15.93,65.58,,,,,10.69,0.17,,0.89,,0.07,,,5.89,,1.16,27.16,1.19,0.87,9.41,15.59,,3.32,141.69,11.31,5.12,25.11,0.81,2.88,,1.19,3.88
1999,11.31,6.51,5.02,41.71,,6.15,25.95,0.13,,,0.51,1.10,143.03,2.04,27.59,,,2.51,,5.76,,,,,8.78,,10.72,4.62,2.12,21.30,,,,38.54,3.47,2.84,1.29,,0.68,2.38,9.41,15.42,,,0.83,0.07,12.93,162.60,,39.24,,,,7.82,5.74,3.62,,,0.07,7.88,,,2.22,2.25,,115.84,58.85,,,,,,,,,,,,,,,0.26,,0.62,,8.07,,226.41,12.82,,2.80,16.25,58.92,,,,,10.59,0.16,,0.82,,0.34,,,5.76,,1.20,31.12,1.21,0.82,13.47,14.94,,3.50,125.87,11.63,5.10,21.99,0.85,2.98,,1.07,3.81
2000,12.02,6.33,5.08,43.85,,6.08,25.52,0.14,,,0.72,1.22,145.31,2.06,27.81,,,2.58,,5.51,,,,,9.52,,12.51,4.82,2.10,23.43,,,,30.58,3.32,2.90,1.26,,0.70,2.42,9.94,14.97,,,0.78,0.05,15.87,169.33,,40.13,,,,8.41,5.79,3.74,,,0.15,7.64,,,2.20,2.62,,122.19,65.23,,,,,,,,,,,,,,,0.27,,0.57,,7.46,,254.21,12.15,,2.95,16.72,61.68,,,,,10.52,0.16,,0.80,,0.95,,,5.51,,1.29,34.45,1.04,0.76,22.87,14.60,,3.53,127.14,11.15,5.01,21.91,0.95,3.17,,0.93,3.88
2001,11.42,6.08,5.21,45.87,,6.30,25.89,0.15,,,1.03,1.25,146.82,2.18,27.91,,,2.70,,5.50,,,,,9.64,,12.14,4.80,2.11,36.64,,,,28.21,3.21,2.95,1.15,,0.69,2.49,9.88,13.93,,,0.71,0.05,17.17,159.66,,38.01,,,,8.02,5.81,3.68,,,0.30,8.01,,,2.48,2.59,,124.47,68.49,,,,,,,,,,,,,,,0.27,,0.55,,7.46,,247.48,10.86,,2.96,17.43,59.13,,,,,10.40,0.14,,0.75,,1.08,,,5.69,,1.32,35.07,0.94,0.73,24.49,14.77,,3.56,118.57,10.59,4.96,21.95,1.02,3.15,,0.95,3.91
2002,11.88,7.17,5.05,46.48,,6.27,26.18,0.16,,,1.30,1.39,147.06,2.16,27.64,,,2.85,,5.03,,,,,9.21,,12.69,4.54,2.11,41.47,,,,26.84,3.22,3.01,1.13,,0.71,2.57,9.68,11.31,,,0.76,0.02,18.05,143.90,,35.70,,,,8.14,5.76,3.93,,,0.35,7.83,,,2.81,2.33,,126.07,65.29,,,,,,,,,,,,,,,0.29,,0.54,,7.44,,232.20,10.19,,3.01,18.14,53.29,,,,,10.15,0.12,,0.72,,1.19,,,6.08,,1.37,40.62,0.97,0.67,25.27,14.19,,3.64,107.57,10.35,4.99,20.36,1.10,3.09,,0.82,3.87
2003,12.74,6.66,5.24,46.64,,6.21,25.63,0.17,,,1.46,1.42,150.84,2.28,27.46,0.38,,3.28,,5.50,,,,,9.25,,12.40,4.76,2.13,45.39,,,,27.96,3.21,2.86,1.17,,0.72,2.60,10.65,6.98,,,0.73,0.02,20.13,163.93,,37.33,,,,8.25,6.02,3.98,,,0.40,7.45,,,3.13,2.69,,126.06,61.53,,,,,,,,,,,,,,,0.34,,0.52,,7.41,,250.73,9.05,,3.07,19.62,60.92,,,,,10.90,0.12,,0.66,,1.29,,,5.77,,1.43,52.79,0.88,0.63,27.37,13.81,,3.61,115.89,9.74,4.92,19.04,1.20,2.96,,0.59,4.03
2004,12.84,8.19,5.22,47.31,,6.14,22.01,0.18,,,2.02,1.41,146.17,2.24,27.91,2.59,,3.76,,5.65,,,,,8.87,,13.51,5.90,2.08,56.46,,,,27.17,3.21,2.99,0.90,,0.76,2.70,11.13,10.17,,,0.69,0.02,22.28,170.81,,40.57,,,,8.74,6.08,4.79,,,0.42,8.75,,,3.12,2.84,,126.03,58.81,,,,,,,,,,,,,,,0.39,,0.53,,7.22,,283.84,9.12,,3.03,20.72,63.89,,,,,10.98,0.12,,0.63,,1.41,,,4.31,,1.46,56.30,0.92,0.60,27.01,13.74,,3.66,114.98,8.77,4.88,21.54,1.52,2.72,,0.78,4.22
2005,12.49,9.04,5.09,48.76,,8.51,22.33,0.19,,,2.45,1.52,140.73,2.08,27.75,2.56,,4.17,,5.94,,,,,8.92,,13.57,5.85,2.21,56.91,,,,26.08,3.11,2.99,0.67,,0.77,2.85,11.07,8.92,,,0.69,0.02,22.72,174.70,,43.19,,,,8.88,6.04,5.20,,,0.50,7.95,,,3.13,2.75,,120.82,58.97,,,,,,,,,,,,,,,0.41,,0.64,,7.23,,285.01,9.64,,2.85,21.08,65.15,,,,,10.98,0.10,,0.59,,1.38,,,3.90,,1.60,60.07,0.92,0.63,28.65,13.47,,3.71,111.41,7.76,4.77,20.92,1.68,2.61,,0.69,4.31
2006,12.08,9.60,5.06,48.90,,11.87,21.94,0.20,,,2.58,1.58,146.74,2.16,28.15,2.19,,4.42,,6.28,,,,,9.01,,12.62,5.79,2.45,53.66,,,,22.65,2.95,2.86,0.68,,0.79,3.14,11.25,9.65,,,0.64,0.02,24.24,169.32,,45.64,,,,8.46,5.95,5.54,,,0.51,7.82,,,3.33,2.62,,115.25,58.58,,,,,,,,,,,,,,,0.41,,0.67,,7.10,,259.66,10.49,,2.93,21.73,61.93,,,,,10.86,0.10,,0.55,,1.63,,,3.55,,1.62,67.85,0.88,0.74,28.29,13.56,,3.79,102.98,6.97,4.86,21.09,1.74,2.33,,0.43,4.39
2007,11.92,10.94,4.86,49.79,,16.12,21.30,0.21,,,2.72,1.59,133.07,2.44,28.09,1.98,,4.74,,6.46,,,,,8.96,,11.27,5.43,2.45,52.64,,,,22.29,2.97,2.94,0.69,,0.82,3.28,11.54,10.64,,,0.59,0.02,24.85,154.58,,46.11,,,,8.41,5.60,6.27,,,0.54,7.49,,,2.75,2.48,,108.52,56.36,,,,,,,,,,,,,,,0.40,,0.72,,6.54,,236.50,8.18,,2.95,22.01,57.48,3.61,,,,10.76,0.11,,0.50,,2.15,,,3.19,,1.66,68.52,1.21,0.82,30.02,13.48,,3.78,85.44,6.61,4.93,20.35,1.79,1.98,,0.42,4.43
2008,11.64,11.99,4.75,49.96,,17.70,21.42,0.22,,,2.76,1.66,123.69,2.46,27.08,1.70,,4.89,,6.87,,,,,8.54,,10.96,5.28,2.50,49.78,,,,21.12,2.73,2.86,0.66,,0.87,3.52,11.61,11.94,,,0.54,0.02,26.88,153.78,,44.71,,,,8.37,5.13,6.77,,,0.49,8.53,,,2.73,2.38,,108.84,57.42,,,,,,,,,,,,,,,0.41,,0.80,,6.37,,235.01,8.40,,2.97,22.24,57.88,3.77,,,,10.84,0.10,,0.37,,1.98,,,3.09,,1.76,67.07,1.10,0.91,29.76,13.59,,3.81,72.42,6.28,5.00,19.61,1.68,1.79,,0.30,4.49
2009,10.49,10.77,4.32,50.99,,19.17,20.36,0.25,,,2.34,1.72,115.78,2.35,25.82,1.52,,4.99,,7.09,,,,,7.78,,9.71,4.99,2.56,42.22,,,,20.50,2.53,2.88,0.60,,0.93,3.60,11.47,11.58,,,0.47,0.02,26.57,129.70,,40.89,,,,7.82,4.87,9.58,,,0.46,7.84,,,2.51,2.22,,105.63,58.97,,,,,,,,,,,,,,,0.39,,0.91,,5.91,,222.77,9.33,,2.87,21.13,50.58,3.75,,,,10.62,0.09,,0.32,,2.00,,,3.05,,1.75,68.14,1.02,0.94,18.64,13.05,,3.61,57.20,5.69,4.69,18.05,1.83,1.75,,0.33,4.36
2010,10.07,10.72,4.16,52.15,,19.14,20.27,0.26,,,2.66,1.81,119.78,2.53,26.10,1.52,,5.37,,7.51,,,,,7.74,,9.21,4.91,2.47,37.21,,,,19.17,2.47,2.58,0.62,,0.96,3.68,11.70,11.34,,,0.51,0.01,27.85,125.60,,41.58,,,,7.73,4.80,16.48,,,0.49,8.96,,,2.97,2.52,,99.79,58.90,,,,,,,,,,,,,,,0.39,,1.20,,5.80,,258.81,10.18,,2.70,22.44,49.98,3.68,,,,10.82,0.08,,0.28,,1.90,,,3.08,,1.89,69.00,0.99,0.93,21.03,13.27,,3.58,56.26,5.32,4.49,16.67,1.81,2.13,,0.52,4.50
2011,9.84,9.53,3.91,50.16,,17.25,20.61,0.26,,,2.86,1.85,118.23,3.20,26.69,1.37,,5.88,,8.52,,,,,7.79,,7.96,4.96,2.41,34.89,,,,18.75,2.49,2.65,0.64,,0.94,4.17,11.76,12.20,,,0.51,0.02,28.21,134.35,,13.47,,,,7.40,4.79,21.28,,,0.50,8.24,,,2.72,2.45,,93.26,54.71,,,,,,,,,,,,,,,0.38,,1.44,,5.84,,286.34,9.41,,2.86,23.00,54.59,3.99,,,,10.62,0.08,,0.22,,1.17,,,2.75,,1.96,65.58,0.87,0.94,26.84,13.59,,3.95,60.85,4.43,4.36,16.01,1.82,1.86,,0.49,4.62
2012,9.25,9.54,3.80,53.19,,16.50,21.09,0.28,,,3.16,1.84,113.59,2.91,27.43,1.17,,5.92,,8.81,,,,,7.51,,7.14,4.93,2.34,35.79,,,,16.98,2.51,2.85,0.63,,0.93,4.30,10.59,12.96,,,0.52,0.02,28.15,136.37,,38.74,,,,7.48,4.62,19.73,,,0.49,8.07,,,2.68,2.38,,93.76,51.71,,,,,,,,,,,,,,,0.38,,1.45,,6.05,,289.91,8.51,,2.78,23.18,56.26,3.75,,,,10.73,0.07,0.40,0.20,,0.41,,,1.54,,2.07,63.52,0.86,0.88,27.57,13.65,,4.19,62.46,3.80,4.25,15.65,1.76,1.45,,0.30,4.65
2013,8.94,9.18,3.62,55.43,,16.44,21.90,0.28,,,3.61,1.82,102.21,2.51,28.32,1.01,,5.96,,8.78,,,,,6.58,,6.10,5.06,2.18,29.97,,,,15.78,2.36,2.40,0.63,,0.91,4.91,10.07,12.46,,,0.50,0.02,28.28,125.40,,27.25,,,,7.45,4.54,20.74,,,0.50,8.50,,,2.52,2.14,,88.03,49.98,,,,,,,,,,,,,,,0.37,,1.50,,5.99,,276.30,7.19,,2.47,23.54,54.16,3.97,,,,10.49,0.06,1.25,0.15,,0.45,,,0.81,,2.06,63.22,0.78,0.78,27.31,13.85,,4.16,64.07,3.38,4.14,15.16,1.72,1.70,,0.58,4.64
2014,9.09,8.65,3.55,58.46,,16.03,22.18,0.29,,,3.70,1.99,101.88,2.71,29.55,0.96,,5.85,,8.79,,,,,6.28,,5.74,5.27,2.01,28.88,,,,15.08,2.29,2.29,0.63,,0.94,4.72,10.47,12.58,,,0.49,0.02,27.67,120.02,,15.10,,,,7.41,4.35,14.91,,,0.64,7.05,,,2.13,2.16,,88.00,46.97,,,,,,,,,,,,,,,0.36,,1.56,,5.67,,253.03,7.34,,2.45,23.36,53.68,2.95,,,,10.52,0.06,1.92,0.14,,0.45,,,0.66,,2.04,61.75,0.72,0.81,28.59,14.79,,3.13,63.80,3.30,4.08,15.08,1.68,1.40,,1.05,4.64
2015,8.86,8.83,3.58,58.08,,15.77,21.19,0.32,,,3.59,2.10,103.71,3.12,29.49,1.16,,5.73,,8.56,,,,,6.25,,5.49,5.06,1.88,25.32,,,,14.81,2.21,2.04,0.60,,0.96,4.68,10.65,14.98,,,0.47,0.02,24.17,114.98,,14.01,,,,7.81,4.01,14.41,,,0.74,5.33,,,1.73,2.13,,91.85,46.80,,,,,,,,,,,,,,,0.36,,1.42,,5.56,,234.44,6.64,,2.50,23.61,54.86,3.75,,,,9.92,0.06,1.83,0.10,,0.40,,,0.59,,1.97,58.04,0.64,0.62,29.07,14.58,,2.31,68.33,3.49,3.80,16.03,1.73,0.46,,0.77,4.60
2016,9.26,8.29,3.54,58.73,,15.33,20.28,0.33,,,3.32,2.14,99.14,2.75,29.64,1.18,,5.29,,8.38,,,,,5.95,,5.05,5.05,1.75,20.83,,,,14.92,2.04,1.44,0.58,,0.95,4.53,12.05,16.35,,,0.36,0.02,23.42,114.33,,13.33,,,,7.79,3.72,20.50,,,0.70,5.12,,,1.42,1.81,,92.39,45.76,,,,,,,,,,,,,,,0.35,,1.42,,5.47,,217.50,6.46,,2.28,24.08,55.70,3.77,,,,9.90,0.06,1.72,0.06,,,,,0.53,,2.01,50.44,0.60,0.74,27.65,13.25,,2.42,69.98,3.46,3.71,14.61,1.59,0.19,,0.47,4.45
2017,9.04,7.61,3.41,57.71,,14.42,19.65,0.33,,,3.22,2.23,95.06,3.09,30.89,0.97,,5.41,,8.15,,,,,5.64,,5.05,4.80,1.84,17.41,,,,13.81,2.01,1.66,0.51,,0.95,4.38,12.74,16.32,,,0.37,0.02,25.65,106.81,,23.54,,,,7.82,3.36,28.28,,,0.67,4.36,,,1.42,1.86,,93.85,43.59,,,,,,,,,,,,,,,0.35,,1.32,,5.23,,202.17,7.32,,2.41,24.97,52.41,3.76,,,,9.80,0.05,1.92,0.09,,0.24,,,0.52,,1.93,51.01,0.50,0.71,25.62,13.80,,2.05,66.19,3.36,3.70,13.03,1.51,0.30,,0.50,4.48
2018,8.82,6.67,3.50,60.46,,14.53,19.49,0.32,,,2.96,2.17,92.38,2.88,32.12,1.10,,5.64,,7.79,,,,,5.43,,4.23,4.59,2.01,15.24,,,,12.41,1.91,1.56,0.45,,0.99,4.94,12.43,16.27,,,0.39,0.02,26.75,103.55,,27.92,,,,7.48,3.14,30.52,,,0.64,3.72,,,1.53,1.85,,89.37,44.91,,,,,,,,,,,,,,,0.34,,1.30,,4.98,,201.80,8.77,,2.32,25.96,52.74,3.46,,,,9.74,0.04,1.93,0.07,,0.25,,,0.51,,1.84,51.97,0.48,0.78,25.89,15.00,,2.14,65.69,3.47,3.95,10.13,1.54,0.38,,0.56,4.60
2019,8.27,6.02,3.66,61.84,,15.09,21.55,0.30,,,2.54,2.29,96.60,2.69,31.71,1.16,,5.84,,7.67,,,,,4.96,,3.53,4.62,2.07,13.42,,,,13.66,1.46,1.14,0.40,,0.96,5.32,10.49,16.40,,,0.35,0.01,25.57,96.86,,28.86,,,,7.30,2.89,31.28,,,0.69,3.16,,,1.40,1.88,,84.31,44.75,,,,,,,,,,,,,,,0.34,,1.34,,4.71,,197.46,8.71,,2.27,26.19,49.91,3.59,,,,9.63,0.04,2.28,0.00,,0.23,,,0.54,,1.85,51.79,0.44,0.81,25.89,15.79,,2.13,67.09,3.45,3.84,6.92,1.59,0.37,,0.43,4.60
2020,7.45,5.44,3.41,57.28,,14.57,22.02,0.28,,,2.44,2.37,90.94,2.18,30.21,1.13,,5.90,,5.58,,,,,3.77,,2.17,4.13,1.89,13.03,,,,12.76,1.20,0.60,0.37,,0.94,4.83,10.32,13.70,,,0.39,0.01,24.45,90.32,,12.15,,,,6.70,2.83,23.14,,,0.65,2.28,,,1.26,1.66,,89.26,44.68,,,,,,,,,,,,,,,0.34,,1.19,,4.27,,198.56,7.78,,1.89,24.20,46.88,3.81,,,,9.21,0.04,2.16,0.00,,0.20,,,0.54,,1.68,44.78,0.40,0.73,25.59,14.35,,1.99,61.11,3.29,3.15,4.85,1.48,0.34,,0.43,4.33
2021,8.24,4.66,3.50,55.93,,15.74,23.30,0.28,,,2.48,2.34,84.18,2.69,31.58,1.00,,6.12,,5.66,,,,,3.90,,2.05,4.01,1.99,10.48,,,,10.89,1.39,0.54,0.31,,0.99,5.08,11.19,13.41,,,0.34,0.01,23.97,91.75,,29.20,,,,6.79,2.85,17.08,,,0.63,2.04,,,1.28,1.45,,90.82,46.80,,,,,,,,,,,,,,,0.36,,1.12,,4.47,,206.62,6.76,,1.97,25.96,46.66,3.35,,,,8.51,0.03,1.97,0.00,,0.19,,,0.89,,1.62,38.52,0.49,0.82,29.89,14.73,,2.01,61.50,2.72,3.36,5.42,1.50,0.31,,0.51,4.43
2022,8.32,4.57,3.84,54.11,,15.58,23.00,0.27,,,2.17,2.39,74.85,3.40,32.44,1.03,,6.72,,5.59,,,,,4.27,,2.02,4.03,1.91,9.23,,,,11.25,1.45,0.61,0.30,,1.09,5.44,11.41,14.43,,,0.32,0.01,23.53,102.36,,25.41,,,,6.93,2.88,20.49,,,0.62,1.70,,,1.18,1.26,,90.86,49.88,,,,,,,,,,,,,,,0.31,,1.25,,4.17,,208.46,6.49,,1.95,25.14,50.89,3.26,,,,8.29,0.03,1.79,0.00,,0.18,,,0.86,,1.35,39.82,0.42,0.91,29.18,15.36,,1.72,66.20,2.66,3.20,5.77,1.53,0.29,,0.61,4.59
